eventid, userid, eventtime, type, diffgold, diffpower, difflevel
2631,761,2022-12-17 06:10:16,3,0,0,1
2632,943,2022-12-17 06:10:21,1,-47563,19240,0
2633,266,2022-12-17 06:10:45,1,-31005,90740,0
2634,440,2022-12-17 06:11:02,2,93446,0,0
2635,577,2022-12-17 06:11:16,2,18598,0,0
2636,398,2022-12-17 06:11:55,1,-67949,77569,0
2637,640,2022-12-17 06:12:31,3,0,0,2
2638,567,2022-12-17 06:13:13,2,69288,0,0
2639,815,2022-12-17 06:13:35,2,72842,0,0
2640,555,2022-12-17 06:13:44,1,-89493,31601,0
2641,679,2022-12-17 06:14:32,1,-30153,52476,0
2642,685,2022-12-17 06:14:58,1,-8897,86724,0
2643,618,2022-12-17 06:15:04,2,55915,0,0
2644,542,2022-12-17 06:15:12,1,-12689,17743,0
2645,718,2022-12-17 06:15:51,1,-10893,37845,0
2646,506,2022-12-17 06:16:02,2,11367,0,0
2647,283,2022-12-17 06:16:24,2,65879,0,0
2648,933,2022-12-17 06:16:36,3,0,0,2
2649,92,2022-12-17 06:16:42,3,0,0,2
2650,751,2022-12-17 06:17:25,1,-51098,10803,0
2651,88,2022-12-17 06:18:04,1,-52977,26579,0
2652,67,2022-12-17 06:18:07,2,44816,0,0
2653,102,2022-12-17 06:18:41,1,-27518,76524,0
2654,908,2022-12-17 06:19:01,3,0,0,2
2655,246,2022-12-17 06:19:26,1,-62330,13474,0
2656,793,2022-12-17 06:19:52,3,0,0,2
2657,913,2022-12-17 06:20:12,1,-80822,91963,0
2658,190,2022-12-17 06:20:59,3,0,0,2
2659,935,2022-12-17 06:21:45,1,-30251,25935,0
2660,965,2022-12-17 06:22:19,1,-84839,49854,0
2661,709,2022-12-17 06:22:32,1,-36042,21698,0
2662,799,2022-12-17 06:22:52,1,-8604,99758,0
2663,909,2022-12-17 06:23:40,1,-66085,50136,0
2664,999,2022-12-17 06:24:17,2,72763,0,0
2665,754,2022-12-17 06:24:49,2,64098,0,0
2666,905,2022-12-17 06:25:09,2,17794,0,0
2667,752,2022-12-17 06:25:35,1,-13011,15579,0
2668,421,2022-12-17 06:25:39,1,-80797,96686,0
2669,538,2022-12-17 06:25:51,2,12927,0,0
2670,282,2022-12-17 06:26:35,1,-64966,60762,0
2671,691,2022-12-17 06:26:43,3,0,0,2
2672,556,2022-12-17 06:26:48,1,-6710,32362,0
2673,935,2022-12-17 06:26:53,3,0,0,2
2674,50,2022-12-17 06:27:23,1,-93846,18857,0
2675,705,2022-12-17 06:28:11,1,-53678,32492,0
2676,612,2022-12-17 06:28:46,1,-84617,71943,0
2677,967,2022-12-17 06:28:56,2,21974,0,0
2678,975,2022-12-17 06:29:14,3,0,0,1
2679,492,2022-12-17 06:29:37,3,0,0,2
2680,339,2022-12-17 06:29:54,2,93462,0,0
2681,981,2022-12-17 06:30:40,2,16586,0,0
2682,230,2022-12-17 06:30:51,3,0,0,1
2683,265,2022-12-17 06:31:36,1,-76183,44226,0
2684,750,2022-12-17 06:32:01,3,0,0,1
2685,479,2022-12-17 06:32:29,3,0,0,1
2686,655,2022-12-17 06:32:38,1,-6410,44723,0
2687,210,2022-12-17 06:33:00,2,41829,0,0
2688,261,2022-12-17 06:33:38,2,3220,0,0
2689,27,2022-12-17 06:33:49,1,-5964,97949,0
2690,516,2022-12-17 06:34:33,3,0,0,1
2691,571,2022-12-17 06:34:40,2,21238,0,0
2692,281,2022-12-17 06:35:28,2,54823,0,0
2693,156,2022-12-17 06:35:33,3,0,0,2
2694,896,2022-12-17 06:36:04,2,31602,0,0
2695,410,2022-12-17 06:36:43,3,0,0,2
2696,649,2022-12-17 06:36:59,2,4166,0,0
2697,409,2022-12-17 06:37:42,2,38690,0,0
2698,653,2022-12-17 06:37:56,1,-91873,59056,0
2699,13,2022-12-17 06:38:45,2,43288,0,0
2700,977,2022-12-17 06:39:31,3,0,0,1
2701,867,2022-12-17 06:40:20,3,0,0,2
2702,989,2022-12-17 06:40:29,2,54260,0,0
2703,702,2022-12-17 06:41:16,2,48646,0,0
2704,484,2022-12-17 06:41:31,3,0,0,1
2705,772,2022-12-17 06:41:43,1,-78322,82938,0
2706,86,2022-12-17 06:42:23,1,-51739,49066,0
2707,683,2022-12-17 06:42:33,1,-91741,54328,0
2708,657,2022-12-17 06:42:48,1,-14275,15763,0
2709,713,2022-12-17 06:43:19,3,0,0,1
2710,468,2022-12-17 06:43:47,3,0,0,1
2711,897,2022-12-17 06:44:08,3,0,0,2
2712,943,2022-12-17 06:44:54,1,-71230,51508,0
2713,386,2022-12-17 06:45:05,2,98464,0,0
2714,599,2022-12-17 06:45:33,1,-8381,53874,0
2715,903,2022-12-17 06:45:36,1,-3741,38830,0
2716,650,2022-12-17 06:46:17,1,-61322,34036,0
2717,141,2022-12-17 06:46:58,2,69998,0,0
2718,187,2022-12-17 06:47:03,2,79604,0,0
2719,855,2022-12-17 06:47:21,3,0,0,2
2720,955,2022-12-17 06:48:03,1,-15934,19580,0
2721,491,2022-12-17 06:48:40,2,30832,0,0
2722,138,2022-12-17 06:49:02,3,0,0,1
2723,149,2022-12-17 06:49:39,3,0,0,2
2724,777,2022-12-17 06:50:07,1,-7787,46183,0
2725,216,2022-12-17 06:50:43,1,-6898,95069,0
2726,882,2022-12-17 06:50:46,1,-42791,36553,0
2727,122,2022-12-17 06:50:47,1,-34426,93074,0
2728,165,2022-12-17 06:50:53,2,68231,0,0
2729,82,2022-12-17 06:51:14,3,0,0,2
2730,545,2022-12-17 06:51:36,3,0,0,1
2731,597,2022-12-17 06:52:19,1,-19445,79415,0
2732,185,2022-12-17 06:53:01,3,0,0,1
2733,899,2022-12-17 06:53:25,2,78480,0,0
2734,600,2022-12-17 06:54:08,2,97029,0,0
2735,734,2022-12-17 06:54:48,2,54450,0,0
2736,349,2022-12-17 06:55:05,3,0,0,2
2737,434,2022-12-17 06:55:21,2,93955,0,0
2738,68,2022-12-17 06:55:50,2,22374,0,0
2739,587,2022-12-17 06:56:11,3,0,0,1
2740,120,2022-12-17 06:56:29,1,-70424,43713,0
2741,420,2022-12-17 06:56:58,2,54409,0,0
2742,657,2022-12-17 06:57:24,2,12143,0,0
2743,810,2022-12-17 06:58:03,3,0,0,1
2744,170,2022-12-17 06:58:34,1,-58468,30849,0
2745,87,2022-12-17 06:59:13,1,-31491,73292,0
2746,131,2022-12-17 06:59:39,1,-70178,27550,0
2747,787,2022-12-17 06:59:47,1,-78285,70392,0
2748,698,2022-12-17 07:00:12,2,15143,0,0
2749,211,2022-12-17 07:00:51,2,50553,0,0
2750,450,2022-12-17 07:01:02,3,0,0,2
2751,918,2022-12-17 07:01:06,1,-99909,30248,0
2752,17,2022-12-17 07:01:34,1,-90183,70202,0
2753,318,2022-12-17 07:02:20,2,23875,0,0
2754,367,2022-12-17 07:03:04,1,-47104,73946,0
2755,610,2022-12-17 07:03:28,1,-44854,87004,0
2756,814,2022-12-17 07:03:32,1,-11415,65880,0
2757,594,2022-12-17 07:03:44,2,50958,0,0
2758,535,2022-12-17 07:04:19,1,-11294,23676,0
2759,605,2022-12-17 07:04:49,1,-29303,45821,0
2760,698,2022-12-17 07:05:08,1,-77169,40363,0
2761,893,2022-12-17 07:05:27,3,0,0,1
2762,362,2022-12-17 07:05:55,2,37621,0,0
2763,261,2022-12-17 07:06:34,2,53437,0,0
2764,750,2022-12-17 07:06:57,2,16499,0,0
2765,865,2022-12-17 07:07:02,3,0,0,1
2766,620,2022-12-17 07:07:50,3,0,0,1
2767,775,2022-12-17 07:08:31,2,23725,0,0
2768,527,2022-12-17 07:08:38,3,0,0,1
2769,119,2022-12-17 07:09:12,1,-9630,81328,0
2770,899,2022-12-17 07:09:36,3,0,0,1
2771,328,2022-12-17 07:09:42,3,0,0,2
2772,487,2022-12-17 07:10:08,2,5007,0,0
2773,954,2022-12-17 07:10:31,2,34976,0,0
2774,812,2022-12-17 07:11:07,1,-36488,14470,0
2775,614,2022-12-17 07:11:31,1,-43181,71144,0
2776,800,2022-12-17 07:11:34,2,38354,0,0
2777,50,2022-12-17 07:11:54,1,-26381,18047,0
2778,911,2022-12-17 07:12:07,2,65299,0,0
2779,389,2022-12-17 07:12:51,3,0,0,2
2780,736,2022-12-17 07:13:35,2,30008,0,0
2781,610,2022-12-17 07:13:51,3,0,0,2
2782,58,2022-12-17 07:14:26,2,88644,0,0
2783,970,2022-12-17 07:14:36,2,56235,0,0
2784,821,2022-12-17 07:14:54,1,-22715,44608,0
2785,348,2022-12-17 07:15:23,2,38521,0,0
2786,925,2022-12-17 07:15:42,3,0,0,2
2787,538,2022-12-17 07:16:10,1,-97704,40737,0
2788,895,2022-12-17 07:16:40,3,0,0,2
2789,344,2022-12-17 07:17:02,3,0,0,1
2790,25,2022-12-17 07:17:23,1,-27392,40979,0
2791,467,2022-12-17 07:18:09,3,0,0,2
2792,953,2022-12-17 07:18:24,3,0,0,2
2793,865,2022-12-17 07:19:10,2,24199,0,0
2794,723,2022-12-17 07:19:27,1,-52788,25482,0
2795,108,2022-12-17 07:19:39,2,12592,0,0
2796,798,2022-12-17 07:20:26,2,88775,0,0
2797,358,2022-12-17 07:20:29,1,-11710,94692,0
2798,411,2022-12-17 07:21:15,3,0,0,1
2799,449,2022-12-17 07:21:25,3,0,0,2
2800,318,2022-12-17 07:21:31,2,49752,0,0
2801,815,2022-12-17 07:22:11,1,-65420,87078,0
2802,626,2022-12-17 07:22:21,2,99801,0,0
2803,436,2022-12-17 07:22:22,2,17025,0,0
2804,649,2022-12-17 07:22:36,2,54452,0,0
2805,807,2022-12-17 07:23:13,1,-50196,43085,0
2806,402,2022-12-17 07:23:40,3,0,0,1
2807,309,2022-12-17 07:23:49,2,18205,0,0
2808,221,2022-12-17 07:24:20,2,14620,0,0
2809,899,2022-12-17 07:24:32,1,-28750,14191,0
2810,925,2022-12-17 07:25:22,2,96252,0,0
2811,241,2022-12-17 07:26:06,1,-94178,23427,0
2812,999,2022-12-17 07:26:52,1,-21048,41303,0
2813,409,2022-12-17 07:27:11,1,-32587,54779,0
2814,846,2022-12-17 07:27:27,2,24103,0,0
2815,409,2022-12-17 07:27:48,3,0,0,1
2816,516,2022-12-17 07:28:14,1,-18353,25131,0
2817,207,2022-12-17 07:28:59,3,0,0,2
2818,967,2022-12-17 07:29:24,2,19589,0,0
2819,654,2022-12-17 07:29:57,1,-13200,87523,0
2820,512,2022-12-17 07:30:46,2,21997,0,0
2821,354,2022-12-17 07:30:53,2,31316,0,0
2822,254,2022-12-17 07:30:58,1,-64800,83123,0
2823,891,2022-12-17 07:31:31,2,76111,0,0
2824,974,2022-12-17 07:31:42,3,0,0,2
2825,992,2022-12-17 07:31:47,3,0,0,2
2826,236,2022-12-17 07:32:35,3,0,0,2
2827,452,2022-12-17 07:32:42,2,44205,0,0
2828,375,2022-12-17 07:33:07,2,43214,0,0
2829,364,2022-12-17 07:33:16,3,0,0,2
2830,449,2022-12-17 07:33:39,1,-80006,36344,0
2831,626,2022-12-17 07:34:08,2,14141,0,0
2832,61,2022-12-17 07:34:34,1,-38764,32551,0
2833,452,2022-12-17 07:34:46,2,92853,0,0
2834,43,2022-12-17 07:35:07,2,10741,0,0
2835,444,2022-12-17 07:35:46,3,0,0,2
2836,12,2022-12-17 07:36:05,1,-89314,14899,0
2837,50,2022-12-17 07:36:54,2,8740,0,0
2838,620,2022-12-17 07:37:06,2,32234,0,0
2839,364,2022-12-17 07:37:40,1,-73911,85488,0
2840,704,2022-12-17 07:38:13,2,64464,0,0
2841,560,2022-12-17 07:38:38,3,0,0,1
2842,534,2022-12-17 07:38:40,3,0,0,2
2843,592,2022-12-17 07:39:26,3,0,0,1
2844,586,2022-12-17 07:40:07,3,0,0,2
2845,234,2022-12-17 07:40:24,3,0,0,1
2846,697,2022-12-17 07:40:37,2,41562,0,0
2847,161,2022-12-17 07:40:48,1,-16724,22250,0
2848,39,2022-12-17 07:40:50,3,0,0,1
2849,797,2022-12-17 07:41:35,1,-96453,56375,0
2850,678,2022-12-17 07:42:04,2,39639,0,0
2851,470,2022-12-17 07:42:22,3,0,0,1
2852,398,2022-12-17 07:43:11,2,85916,0,0
2853,210,2022-12-17 07:43:57,2,28418,0,0
2854,751,2022-12-17 07:44:08,3,0,0,2
2855,594,2022-12-17 07:44:49,1,-13121,25971,0
2856,404,2022-12-17 07:45:07,2,33874,0,0
2857,920,2022-12-17 07:45:57,3,0,0,2
2858,674,2022-12-17 07:46:45,3,0,0,1
2859,742,2022-12-17 07:47:11,1,-48114,89578,0
2860,467,2022-12-17 07:47:16,3,0,0,1
2861,872,2022-12-17 07:48:05,1,-10529,71314,0
2862,708,2022-12-17 07:48:41,2,5616,0,0
2863,169,2022-12-17 07:48:52,2,45024,0,0
2864,394,2022-12-17 07:48:55,3,0,0,1
2865,576,2022-12-17 07:49:10,3,0,0,1
2866,843,2022-12-17 07:49:32,2,94843,0,0
2867,570,2022-12-17 07:49:59,3,0,0,1
2868,773,2022-12-17 07:50:02,2,67998,0,0
2869,215,2022-12-17 07:50:31,2,79516,0,0
2870,930,2022-12-17 07:51:12,2,83214,0,0
2871,819,2022-12-17 07:51:37,3,0,0,1
2872,948,2022-12-17 07:52:13,3,0,0,2
2873,592,2022-12-17 07:52:44,1,-70162,31286,0
2874,943,2022-12-17 07:53:08,3,0,0,1
2875,466,2022-12-17 07:53:41,3,0,0,2
2876,581,2022-12-17 07:54:28,3,0,0,1
2877,179,2022-12-17 07:54:45,3,0,0,2
2878,345,2022-12-17 07:54:54,2,9096,0,0
2879,394,2022-12-17 07:54:56,3,0,0,2
2880,503,2022-12-17 07:55:33,3,0,0,2
2881,539,2022-12-17 07:55:47,1,-2502,77515,0
2882,631,2022-12-17 07:56:35,1,-3197,94775,0
2883,50,2022-12-17 07:57:08,2,47762,0,0
2884,324,2022-12-17 07:57:28,2,90213,0,0
2885,977,2022-12-17 07:57:49,2,6132,0,0
2886,503,2022-12-17 07:58:33,1,-38464,85729,0
2887,537,2022-12-17 07:58:44,3,0,0,2
2888,991,2022-12-17 07:59:25,2,39096,0,0
2889,512,2022-12-17 07:59:45,1,-1351,79004,0
2890,927,2022-12-17 08:00:03,1,-22236,91047,0
2891,340,2022-12-17 08:00:41,3,0,0,2
2892,842,2022-12-17 08:00:44,1,-33038,37027,0
2893,874,2022-12-17 08:01:07,2,97454,0,0
2894,463,2022-12-17 08:01:22,3,0,0,1
2895,832,2022-12-17 08:01:32,1,-20863,49544,0
2896,826,2022-12-17 08:02:05,2,69216,0,0
2897,394,2022-12-17 08:02:37,3,0,0,2
2898,372,2022-12-17 08:03:05,2,72634,0,0
2899,268,2022-12-17 08:03:15,2,36000,0,0
2900,241,2022-12-17 08:04:01,1,-96418,26201,0
2901,196,2022-12-17 08:04:48,2,47531,0,0
2902,178,2022-12-17 08:05:21,2,22662,0,0
2903,45,2022-12-17 08:05:52,3,0,0,2
2904,407,2022-12-17 08:05:56,2,58186,0,0
2905,66,2022-12-17 08:06:08,2,40260,0,0
2906,971,2022-12-17 08:06:37,1,-75783,5445,0
2907,190,2022-12-17 08:06:56,2,34056,0,0
2908,257,2022-12-17 08:07:19,1,-83092,58973,0
2909,53,2022-12-17 08:07:38,1,-99942,92598,0
2910,615,2022-12-17 08:07:52,3,0,0,2
2911,439,2022-12-17 08:08:36,2,21671,0,0
2912,867,2022-12-17 08:09:23,2,43887,0,0
2913,578,2022-12-17 08:10:06,1,-12364,25519,0
2914,593,2022-12-17 08:10:38,2,80440,0,0
2915,818,2022-12-17 08:10:52,2,10275,0,0
2916,389,2022-12-17 08:11:12,1,-75208,96534,0
2917,423,2022-12-17 08:11:27,3,0,0,2
2918,371,2022-12-17 08:11:52,3,0,0,1
2919,429,2022-12-17 08:12:34,1,-2789,80738,0
2920,441,2022-12-17 08:13:11,3,0,0,1
2921,609,2022-12-17 08:13:53,2,92175,0,0
2922,615,2022-12-17 08:14:15,1,-72725,149,0
2923,191,2022-12-17 08:14:52,2,56794,0,0
2924,945,2022-12-17 08:15:28,3,0,0,1
2925,920,2022-12-17 08:16:04,1,-92111,11201,0
2926,671,2022-12-17 08:16:45,3,0,0,1
2927,377,2022-12-17 08:16:58,2,69502,0,0
2928,29,2022-12-17 08:17:24,1,-4860,72425,0
2929,783,2022-12-17 08:17:43,3,0,0,1
2930,260,2022-12-17 08:18:10,1,-35044,82012,0
2931,304,2022-12-17 08:18:46,1,-4577,47525,0
2932,75,2022-12-17 08:19:06,2,97018,0,0
2933,346,2022-12-17 08:19:16,2,30241,0,0
2934,445,2022-12-17 08:20:01,1,-42065,3536,0
2935,564,2022-12-17 08:20:06,2,87585,0,0
2936,885,2022-12-17 08:20:13,1,-94324,20662,0
2937,483,2022-12-17 08:20:37,2,61181,0,0
2938,206,2022-12-17 08:21:19,2,36833,0,0
2939,547,2022-12-17 08:21:21,3,0,0,2
2940,698,2022-12-17 08:21:33,3,0,0,1
2941,831,2022-12-17 08:21:56,2,25528,0,0
2942,136,2022-12-17 08:22:14,3,0,0,2
2943,740,2022-12-17 08:22:59,2,20429,0,0
2944,278,2022-12-17 08:23:36,3,0,0,2
2945,25,2022-12-17 08:24:00,2,65434,0,0
2946,789,2022-12-17 08:24:40,3,0,0,2
2947,728,2022-12-17 08:25:25,3,0,0,2
2948,169,2022-12-17 08:26:00,1,-71874,43240,0
2949,415,2022-12-17 08:26:21,1,-19965,26333,0
2950,991,2022-12-17 08:27:10,2,7983,0,0
2951,121,2022-12-17 08:27:28,2,59515,0,0
2952,437,2022-12-17 08:27:56,1,-97157,60749,0
2953,472,2022-12-17 08:28:19,1,-11938,14492,0
2954,248,2022-12-17 08:28:59,3,0,0,1
2955,179,2022-12-17 08:29:34,3,0,0,1
2956,151,2022-12-17 08:30:20,1,-20462,98528,0
2957,236,2022-12-17 08:31:09,2,46979,0,0
2958,92,2022-12-17 08:31:12,2,36714,0,0
2959,813,2022-12-17 08:31:14,2,30933,0,0
2960,901,2022-12-17 08:31:25,2,91111,0,0
2961,210,2022-12-17 08:31:52,1,-97710,2029,0
2962,427,2022-12-17 08:32:25,3,0,0,2
2963,86,2022-12-17 08:32:35,2,47177,0,0
2964,612,2022-12-17 08:33:01,2,52907,0,0
2965,950,2022-12-17 08:33:19,2,1968,0,0
2966,801,2022-12-17 08:33:42,2,18275,0,0
2967,420,2022-12-17 08:34:05,1,-72590,88951,0
2968,128,2022-12-17 08:34:47,2,95730,0,0
2969,936,2022-12-17 08:34:56,2,4036,0,0
2970,279,2022-12-17 08:35:29,1,-71731,952,0
2971,552,2022-12-17 08:35:37,3,0,0,2
2972,971,2022-12-17 08:36:15,1,-80555,70032,0
2973,67,2022-12-17 08:36:22,3,0,0,1
2974,606,2022-12-17 08:36:28,1,-77952,5202,0
2975,353,2022-12-17 08:37:08,1,-9010,8616,0
2976,468,2022-12-17 08:37:28,2,61760,0,0
2977,770,2022-12-17 08:37:56,2,19615,0,0
2978,289,2022-12-17 08:38:38,3,0,0,1
2979,525,2022-12-17 08:39:00,1,-87857,93722,0
2980,199,2022-12-17 08:39:02,2,79355,0,0
2981,981,2022-12-17 08:39:15,2,78595,0,0
2982,619,2022-12-17 08:39:36,1,-79212,15607,0
2983,31,2022-12-17 08:39:44,3,0,0,2
2984,532,2022-12-17 08:40:18,1,-888,95085,0
2985,260,2022-12-17 08:41:00,3,0,0,1
2986,336,2022-12-17 08:41:41,1,-88582,67432,0
2987,565,2022-12-17 08:41:48,2,620,0,0
2988,441,2022-12-17 08:42:19,2,2464,0,0
2989,5,2022-12-17 08:42:34,3,0,0,2
2990,662,2022-12-17 08:43:17,1,-63351,55225,0
2991,664,2022-12-17 08:43:54,2,85128,0,0
2992,942,2022-12-17 08:44:28,2,91239,0,0
2993,874,2022-12-17 08:45:13,3,0,0,1
2994,760,2022-12-17 08:45:45,3,0,0,2
2995,37,2022-12-17 08:46:26,2,19368,0,0
2996,389,2022-12-17 08:46:58,3,0,0,2
2997,801,2022-12-17 08:47:43,3,0,0,2
2998,512,2022-12-17 08:48:09,1,-15257,29817,0
2999,478,2022-12-17 08:48:20,1,-77967,79851,0
3000,643,2022-12-17 08:48:49,3,0,0,2
3001,143,2022-12-17 08:49:07,3,0,0,1
3002,764,2022-12-17 08:49:29,2,35324,0,0
3003,220,2022-12-17 08:49:38,1,-77416,72742,0
3004,633,2022-12-17 08:50:10,2,40642,0,0
3005,407,2022-12-17 08:50:27,3,0,0,2
3006,445,2022-12-17 08:51:12,1,-70911,69834,0
3007,205,2022-12-17 08:51:23,1,-80590,70,0
3008,988,2022-12-17 08:51:45,1,-20303,370,0
3009,350,2022-12-17 08:52:04,3,0,0,2
3010,783,2022-12-17 08:52:36,1,-79183,81155,0
3011,918,2022-12-17 08:53:11,1,-19271,57664,0
3012,274,2022-12-17 08:53:35,2,65923,0,0
3013,419,2022-12-17 08:53:51,2,83628,0,0
3014,891,2022-12-17 08:54:36,3,0,0,1
3015,401,2022-12-17 08:55:19,1,-55608,18038,0
3016,152,2022-12-17 08:55:33,1,-61902,36297,0
3017,740,2022-12-17 08:56:21,2,54625,0,0
3018,457,2022-12-17 08:56:52,1,-35865,48456,0
3019,614,2022-12-17 08:57:31,2,25929,0,0
3020,706,2022-12-17 08:58:18,1,-51004,34609,0
3021,137,2022-12-17 08:58:51,3,0,0,2
3022,316,2022-12-17 08:59:31,2,26280,0,0
3023,346,2022-12-17 08:59:47,2,96052,0,0
3024,287,2022-12-17 09:00:34,3,0,0,2
3025,233,2022-12-17 09:00:38,3,0,0,2
3026,380,2022-12-17 09:00:55,3,0,0,2
3027,606,2022-12-17 09:01:28,2,55713,0,0
3028,52,2022-12-17 09:01:53,1,-91724,61100,0
3029,499,2022-12-17 09:02:15,3,0,0,2
3030,299,2022-12-17 09:02:38,2,31443,0,0
3031,573,2022-12-17 09:03:13,2,66459,0,0
3032,421,2022-12-17 09:03:18,1,-58909,44677,0
3033,179,2022-12-17 09:04:01,2,85150,0,0
3034,728,2022-12-17 09:04:10,1,-88471,36117,0
3035,144,2022-12-17 09:04:51,1,-13572,7040,0
3036,508,2022-12-17 09:05:18,3,0,0,2
3037,577,2022-12-17 09:05:58,1,-6935,4884,0
3038,876,2022-12-17 09:06:46,1,-79134,4685,0
3039,601,2022-12-17 09:07:30,1,-13674,50095,0
3040,953,2022-12-17 09:07:55,2,16526,0,0
3041,61,2022-12-17 09:08:03,3,0,0,2
3042,640,2022-12-17 09:08:14,3,0,0,1
3043,395,2022-12-17 09:08:22,2,93650,0,0
3044,313,2022-12-17 09:08:31,3,0,0,2
3045,296,2022-12-17 09:09:14,2,75112,0,0
3046,742,2022-12-17 09:09:35,3,0,0,1
3047,418,2022-12-17 09:10:07,3,0,0,1
3048,531,2022-12-17 09:10:57,2,14750,0,0
3049,73,2022-12-17 09:11:03,3,0,0,1
3050,230,2022-12-17 09:11:53,2,45678,0,0
3051,721,2022-12-17 09:12:02,1,-39730,31186,0
3052,718,2022-12-17 09:12:30,2,45197,0,0
3053,198,2022-12-17 09:13:00,2,45270,0,0
3054,66,2022-12-17 09:13:40,1,-75264,58090,0
3055,385,2022-12-17 09:14:15,3,0,0,2
3056,586,2022-12-17 09:14:59,3,0,0,1
3057,664,2022-12-17 09:15:03,3,0,0,1
3058,232,2022-12-17 09:15:27,3,0,0,1
3059,619,2022-12-17 09:15:34,3,0,0,2
3060,204,2022-12-17 09:15:39,3,0,0,1
3061,668,2022-12-17 09:15:44,2,80418,0,0
3062,756,2022-12-17 09:15:52,1,-32181,91805,0
3063,950,2022-12-17 09:16:03,3,0,0,1
3064,466,2022-12-17 09:16:32,1,-7060,21036,0
3065,957,2022-12-17 09:17:11,2,84834,0,0
3066,765,2022-12-17 09:17:52,3,0,0,2
3067,868,2022-12-17 09:18:09,1,-17357,73661,0
3068,886,2022-12-17 09:18:32,1,-24968,98092,0
3069,627,2022-12-17 09:18:46,2,15156,0,0
3070,354,2022-12-17 09:19:16,1,-77491,18389,0
3071,854,2022-12-17 09:19:21,1,-84383,15481,0
3072,910,2022-12-17 09:19:34,1,-31742,35871,0
3073,622,2022-12-17 09:19:38,3,0,0,1
3074,630,2022-12-17 09:20:13,1,-83785,78418,0
3075,391,2022-12-17 09:20:16,1,-20482,14663,0
3076,902,2022-12-17 09:20:38,1,-40814,35344,0
3077,446,2022-12-17 09:21:02,2,26010,0,0
3078,702,2022-12-17 09:21:23,2,22371,0,0
3079,781,2022-12-17 09:21:44,2,57360,0,0
3080,748,2022-12-17 09:22:12,1,-99248,11145,0
3081,864,2022-12-17 09:22:55,3,0,0,2
3082,449,2022-12-17 09:22:59,1,-9237,92228,0
3083,449,2022-12-17 09:23:44,2,13937,0,0
3084,383,2022-12-17 09:23:56,1,-47074,10182,0
3085,245,2022-12-17 09:24:12,1,-82121,61262,0
3086,654,2022-12-17 09:24:26,3,0,0,2
3087,89,2022-12-17 09:24:59,1,-4576,61679,0
3088,663,2022-12-17 09:25:03,1,-81725,51862,0
3089,306,2022-12-17 09:25:27,3,0,0,2
3090,201,2022-12-17 09:25:38,3,0,0,1
3091,536,2022-12-17 09:25:51,2,37578,0,0
3092,161,2022-12-17 09:26:39,3,0,0,2
3093,330,2022-12-17 09:27:19,1,-86962,99043,0
3094,680,2022-12-17 09:27:54,3,0,0,2
3095,868,2022-12-17 09:28:13,1,-62555,16817,0
3096,829,2022-12-17 09:28:45,3,0,0,2
3097,976,2022-12-17 09:28:55,3,0,0,2
3098,229,2022-12-17 09:29:03,1,-8515,97530,0
3099,739,2022-12-17 09:29:20,3,0,0,1
3100,441,2022-12-17 09:29:53,1,-86826,1696,0
3101,852,2022-12-17 09:30:18,1,-2128,82549,0
3102,756,2022-12-17 09:30:35,1,-98042,96774,0
3103,291,2022-12-17 09:30:44,1,-75785,22717,0
3104,76,2022-12-17 09:31:26,1,-7903,14268,0
3105,475,2022-12-17 09:31:58,2,42233,0,0
3106,141,2022-12-17 09:32:27,1,-14411,74839,0
3107,76,2022-12-17 09:33:04,3,0,0,1
3108,984,2022-12-17 09:33:17,1,-29575,6756,0
3109,264,2022-12-17 09:33:42,1,-14076,26878,0
3110,461,2022-12-17 09:33:58,3,0,0,1
3111,848,2022-12-17 09:34:11,3,0,0,1
3112,239,2022-12-17 09:34:17,1,-23561,58781,0
3113,334,2022-12-17 09:35:06,3,0,0,1
3114,478,2022-12-17 09:35:32,2,25608,0,0
3115,860,2022-12-17 09:36:14,3,0,0,1
3116,790,2022-12-17 09:36:17,3,0,0,2
3117,481,2022-12-17 09:36:59,3,0,0,1
3118,366,2022-12-17 09:37:48,1,-4503,52528,0
3119,178,2022-12-17 09:38:11,2,95984,0,0
3120,219,2022-12-17 09:38:14,1,-23681,60805,0
3121,516,2022-12-17 09:38:25,2,10393,0,0
3122,432,2022-12-17 09:39:10,2,38576,0,0
3123,297,2022-12-17 09:39:29,2,49419,0,0
3124,104,2022-12-17 09:40:12,2,15548,0,0
3125,580,2022-12-17 09:40:37,2,83296,0,0
3126,896,2022-12-17 09:40:48,1,-75164,37798,0
3127,535,2022-12-17 09:41:35,2,19859,0,0
3128,121,2022-12-17 09:41:51,2,23287,0,0
3129,276,2022-12-17 09:42:05,2,56993,0,0
3130,223,2022-12-17 09:42:44,2,6308,0,0
3131,338,2022-12-17 09:43:23,2,42984,0,0
3132,556,2022-12-17 09:44:08,2,81647,0,0
3133,988,2022-12-17 09:44:32,1,-7616,99027,0
3134,590,2022-12-17 09:45:14,1,-54664,28668,0
3135,514,2022-12-17 09:45:33,2,85838,0,0
3136,66,2022-12-17 09:46:09,2,25544,0,0
3137,680,2022-12-17 09:46:37,1,-45014,33712,0
3138,130,2022-12-17 09:46:45,1,-22174,5706,0
3139,591,2022-12-17 09:47:23,3,0,0,1
3140,242,2022-12-17 09:48:04,3,0,0,1
